algo,seed,step,ep_reward,ep_length,collision,success
SAC,0,936,,4.91,,
SAC,0,936,2.9399617,,,
SAC,0,936,,,,
SAC,0,949,,4.84,,
SAC,0,949,2.8900754,,,
SAC,0,949,,,,
SAC,0,962,,4.81,,
SAC,0,962,2.8673112,,,
SAC,0,962,,,,
SAC,0,1003,,4.97,,
SAC,0,1003,2.9887953,,,
SAC,0,1003,,,,
SAC,0,1003,,,,
SAC,0,1003,,,,
SAC,0,1003,,,,
SAC,0,1003,,,,
SAC,0,1003,,,,
SAC,0,1019,,4.84,,
SAC,0,1019,2.8886523,,,
SAC,0,1019,,,,
SAC,0,1019,,,,
SAC,0,1019,,,,
SAC,0,1019,,,,
SAC,0,1019,,,,
SAC,0,1019,,,,
SAC,0,1037,,4.7,,
SAC,0,1037,2.7881265,,,
SAC,0,1037,,,,
SAC,0,1037,,,,
SAC,0,1037,,,,
SAC,0,1037,,,,
SAC,0,1037,,,,
SAC,0,1037,,,,
SAC,0,1061,,4.71,,
SAC,0,1061,2.8005502,,,
SAC,0,1061,,,,
SAC,0,1061,,,,
SAC,0,1061,,,,
SAC,0,1061,,,,
SAC,0,1061,,,,
SAC,0,1061,,,,
SAC,0,1083,,4.72,,
SAC,0,1083,2.8123887,,,
SAC,0,1083,,,,
SAC,0,1083,,,,
SAC,0,1083,,,,
SAC,0,1083,,,,
SAC,0,1083,,,,
SAC,0,1083,,,,
SAC,0,1106,,4.78,,
SAC,0,1106,2.864569,,,
SAC,0,1106,,,,
SAC,0,1106,,,,
SAC,0,1106,,,,
SAC,0,1106,,,,
SAC,0,1106,,,,
SAC,0,1106,,,,
SAC,0,1124,,,0.0,0.0
SAC,0,1128,,,0.0,0.0
SAC,0,1133,,,0.0,0.0
SAC,0,1138,,,0.0,0.0
SAC,0,1147,,,0.0,0.0
SAC,0,1152,,,0.0,0.0
SAC,0,1154,,,0.0,0.0
SAC,0,1158,,,0.0,0.0
SAC,0,1161,,,0.0,0.0
SAC,0,1183,,,0.0,0.0
SAC,0,1187,,,0.0,0.0
SAC,0,1201,,,0.0,0.0
SAC,0,1218,,,0.0,0.0
SAC,0,1227,,,0.0,0.0
SAC,0,1250,,,0.0,0.0
SAC,0,1262,,,0.0,0.0
SAC,0,1270,,,0.0,0.0
SAC,0,1271,,,0.0,0.0
SAC,0,1281,,,0.0,0.0
SAC,0,1289,,,0.0,0.0
SAC,0,1293,,,0.0,0.0
SAC,0,1329,,,0.0,0.0
SAC,0,1133,,4.89,,
SAC,0,1133,2.9455671,,,
SAC,0,1133,,,,
SAC,0,1133,,,,
SAC,0,1133,,,,
SAC,0,1133,,,,
SAC,0,1133,,,,
SAC,0,1133,,,,
SAC,0,1154,,4.77,,
SAC,0,1154,2.861465,,,
SAC,0,1154,,,,
SAC,0,1154,,,,
SAC,0,1154,,,,
SAC,0,1154,,,,
SAC,0,1154,,,,
SAC,0,1154,,,,
SAC,0,1187,,5.01,,
SAC,0,1187,3.0504808,,,
SAC,0,1187,,,,
SAC,0,1187,,,,
SAC,0,1187,,,,
SAC,0,1187,,,,
SAC,0,1187,,,,
SAC,0,1187,,,,
SAC,0,1250,,5.41,,
SAC,0,1250,3.3607574,,,
SAC,0,1250,,,,
SAC,0,1250,,,,
SAC,0,1250,,,,
SAC,0,1250,,,,
SAC,0,1250,,,,
SAC,0,1250,,,,
SAC,0,1281,,5.61,,
SAC,0,1281,3.5266786,,,
SAC,0,1281,,,,
SAC,0,1281,,,,
SAC,0,1281,,,,
SAC,0,1281,,,,
SAC,0,1281,,,,
SAC,0,1281,,,,
SAC,0,1335,,,0.0,0.0
SAC,0,1346,,,0.0,0.0
SAC,0,1349,,,0.0,0.0
SAC,0,1365,,,0.0,0.0
SAC,0,1374,,,0.0,0.0
SAC,0,1386,,,0.0,0.0
SAC,0,1392,,,0.0,0.0
SAC,0,1395,,,0.0,0.0
SAC,0,1399,,,0.0,0.0
SAC,0,1403,,,0.0,0.0
SAC,0,1411,,,0.0,0.0
SAC,0,1424,,,0.0,0.0
SAC,0,1441,,,1.0,0.0
SAC,0,1442,,,0.0,0.0
SAC,0,1451,,,0.0,0.0
SAC,0,1458,,,0.0,0.0
SAC,0,1471,,,0.0,0.0
SAC,0,1494,,,1.0,0.0
SAC,0,1498,,,0.0,0.0
SAC,0,1516,,,1.0,0.0
SAC,0,1335,,6.0,,
SAC,0,1335,3.822259,,,
SAC,0,1335,,,,
SAC,0,1335,,,,
SAC,0,1335,,,,
SAC,0,1335,,,,
SAC,0,1335,,,,
SAC,0,1335,,,,
SAC,0,1374,,6.13,,
SAC,0,1374,3.9289787,,,
SAC,0,1374,,,,
SAC,0,1374,,,,
SAC,0,1374,,,,
SAC,0,1374,,,,
SAC,0,1374,,,,
SAC,0,1374,,,,
SAC,0,1399,,6.26,,
SAC,0,1399,4.025296,,,
SAC,0,1399,,,,
SAC,0,1399,,,,
SAC,0,1399,,,,
SAC,0,1399,,,,
SAC,0,1399,,,,
SAC,0,1399,,,,
SAC,0,1441,,6.58,,
SAC,0,1441,4.272191,,,
SAC,0,1441,,,,
SAC,0,1441,,,,
SAC,0,1441,,,,
SAC,0,1441,,,,
SAC,0,1441,,,,
SAC,0,1441,,,,
SAC,0,1471,,6.62,,
SAC,0,1471,4.2972264,,,
SAC,0,1471,,,,
SAC,0,1471,,,,
SAC,0,1471,,,,
SAC,0,1471,,,,
SAC,0,1471,,,,
SAC,0,1471,,,,
SAC,0,1573,,,1.0,0.0
SAC,0,1620,,,0.0,0.0
SAC,0,1648,,,0.0,0.0
SAC,0,1692,,,1.0,0.0
SAC,0,1719,,,1.0,0.0
SAC,0,1573,,7.52,,
SAC,0,1573,5.00983,,,
SAC,0,1573,,,,
SAC,0,1573,,,,
SAC,0,1573,,,,
SAC,0,1573,,,,
SAC,0,1573,,,,
SAC,0,1573,,,,
SAC,0,1719,,8.87,,
SAC,0,1719,6.0446253,,,
SAC,0,1719,,,,
SAC,0,1719,,,,
SAC,0,1719,,,,
SAC,0,1719,,,,
SAC,0,1719,,,,
SAC,0,1719,,,,
SAC,0,1777,,,1.0,0.0
SAC,0,1801,,,1.0,0.0
SAC,0,1831,,,1.0,0.0
SAC,0,1841,,,1.0,0.0
SAC,0,1941,,,1.0,0.0
SAC,0,1956,,,1.0,0.0
SAC,0,1841,,9.89,,
SAC,0,1841,6.905268,,,
SAC,0,1841,,,,
SAC,0,1841,,,,
SAC,0,1841,,,,
SAC,0,1841,,,,
SAC,0,1841,,,,
SAC,0,1841,,,,
SAC,0,1995,,,1.0,0.0
TD-MPC2,0,3,1.4444444179534912,4.0,0.0,0.0
TD-MPC2,0,5,0.8484490513801575,3.0,0.0,0.0
TD-MPC2,0,15,6.736448764801025,11.0,0.0,0.0
TD-MPC2,0,18,1.6333565711975098,4.0,0.0,0.0
TD-MPC2,0,25,4.563475131988525,8.0,0.0,0.0
TD-MPC2,0,29,2.38273549079895,5.0,0.0,0.0
TD-MPC2,0,33,2.154601812362671,5.0,0.0,0.0
TD-MPC2,0,39,3.932840585708618,7.0,0.0,0.0
TD-MPC2,0,42,1.6022182703018188,4.0,0.0,0.0
TD-MPC2,0,46,2.066666841506958,5.0,0.0,0.0
TD-MPC2,0,52,3.6827316284179688,7.0,0.0,0.0
TD-MPC2,0,64,8.02392578125,13.0,0.0,0.0
TD-MPC2,0,65,0.0,2.0,0.0,0.0
TD-MPC2,0,68,1.406984567642212,4.0,0.0,0.0
TD-MPC2,0,74,3.8291780948638916,7.0,0.0,0.0
TD-MPC2,0,76,0.6666666865348816,3.0,0.0,0.0
TD-MPC2,0,79,1.5490481853485107,4.0,0.0,0.0
TD-MPC2,0,84,3.3653552532196045,6.0,0.0,0.0
TD-MPC2,0,89,2.906787872314453,6.0,0.0,0.0
TD-MPC2,0,100,7.649056911468506,12.0,0.0,0.0
TD-MPC2,0,108,5.851390361785889,9.0,0.0,0.0
TD-MPC2,0,114,3.6119890213012695,7.0,0.0,0.0
TD-MPC2,0,115,0.0,2.0,0.0,0.0
TD-MPC2,0,119,2.6307671070098877,5.0,0.0,0.0
TD-MPC2,0,121,0.6824454665184021,3.0,0.0,0.0
TD-MPC2,0,124,1.6136865615844727,4.0,0.0,0.0
TD-MPC2,0,134,6.786212921142578,11.0,0.0,0.0
TD-MPC2,0,139,2.918058156967163,6.0,0.0,0.0
TD-MPC2,0,149,6.85181188583374,11.0,0.0,0.0
TD-MPC2,0,153,2.066666841506958,5.0,0.0,0.0
TD-MPC2,0,160,4.401169300079346,8.0,0.0,0.0
TD-MPC2,0,162,0.7333333492279053,3.0,0.0,0.0
TD-MPC2,0,164,0.8222373127937317,3.0,0.0,0.0
TD-MPC2,0,168,2.373136281967163,5.0,0.0,0.0
TD-MPC2,0,171,1.5291775465011597,4.0,0.0,0.0
TD-MPC2,0,184,8.862669944763184,14.0,0.0,0.0
TD-MPC2,0,200,13.101905822753906,17.0,1.0,0.0
TD-MPC2,0,202,0.7333333492279053,3.0,0.0,0.0
TD-MPC2,0,206,2.2866036891937256,5.0,0.0,0.0
TD-MPC2,0,210,2.18146014213562,5.0,0.0,0.0
TD-MPC2,0,213,1.4949344396591187,4.0,0.0,0.0
TD-MPC2,0,219,3.8622186183929443,7.0,0.0,0.0
TD-MPC2,0,220,0.0,2.0,0.0,0.0
TD-MPC2,0,224,2.4104084968566895,5.0,0.0,0.0
TD-MPC2,0,226,0.7333333492279053,3.0,0.0,0.0
TD-MPC2,0,233,4.3480224609375,8.0,0.0,0.0
TD-MPC2,0,240,4.777224540710449,8.0,0.0,0.0
TD-MPC2,0,243,1.4048562049865723,4.0,0.0,0.0
TD-MPC2,0,249,3.8462672233581543,7.0,0.0,0.0
TD-MPC2,0,253,2.067342519760132,5.0,0.0,0.0
TD-MPC2,0,257,2.284682035446167,5.0,0.0,0.0
TD-MPC2,0,260,1.4856858253479004,4.0,0.0,0.0
TD-MPC2,0,262,0.6666666865348816,3.0,0.0,0.0
TD-MPC2,0,264,0.7333333492279053,3.0,0.0,0.0
TD-MPC2,0,269,3.280743360519409,6.0,0.0,0.0
TD-MPC2,0,276,4.802996635437012,8.0,0.0,0.0
TD-MPC2,0,279,1.5820720195770264,4.0,0.0,0.0
TD-MPC2,0,285,3.608858585357666,7.0,0.0,0.0
TD-MPC2,0,287,0.7333333492279053,3.0,0.0,0.0
TD-MPC2,0,296,6.046334266662598,10.0,0.0,0.0
TD-MPC2,0,308,8.768354415893555,13.0,0.0,0.0
TD-MPC2,0,309,0.0,2.0,0.0,0.0
TD-MPC2,0,319,7.1320037841796875,11.0,0.0,0.0
TD-MPC2,0,323,2.066666841506958,5.0,0.0,0.0
TD-MPC2,0,333,6.875380992889404,11.0,0.0,0.0
TD-MPC2,0,347,10.481266975402832,15.0,0.0,0.0
TD-MPC2,0,348,0.0,2.0,0.0,0.0
TD-MPC2,0,349,0.0,2.0,0.0,0.0
TD-MPC2,0,354,3.1235592365264893,6.0,0.0,0.0
TD-MPC2,0,359,2.9858334064483643,6.0,0.0,0.0
